"","x","y","z"
"63",605.5,1005.5,1.75147652626038
"64",705.5,1005.5,1.72244942188263
"65",805.5,1005.5,1.63183557987213
"66",905.5,1005.5,1.61584115028381
"67",1005.5,1005.5,1.62694263458252
"68",1105.5,1005.5,1.60882949829102
"69",1205.5,1005.5,1.58013594150543
"70",1305.5,1005.5,1.62227547168732
"71",5.5,905.5,1.55326700210571
"72",105.5,905.5,1.71750783920288
"73",205.5,905.5,1.71733558177948
"74",305.5,905.5,1.71867942810059
"75",405.5,905.5,1.64765274524689
"76",505.5,905.5,1.68743515014648
"77",605.5,905.5,1.68686258792877
"78",705.5,905.5,1.65105748176575
"79",805.5,905.5,1.58090829849243
"80",905.5,905.5,1.55291569232941
"81",1005.5,905.5,1.58673012256622
"82",1105.5,905.5,1.56233155727386
"83",1205.5,905.5,1.58419823646545
"84",1305.5,905.5,1.67520785331726
"85",5.5,805.5,1.57053518295288
"86",105.5,805.5,1.68861758708954
"87",205.5,805.5,1.77872920036316
"88",305.5,805.5,1.73444211483002
"89",405.5,805.5,1.74313533306122
"90",505.5,805.5,1.70441377162933
"91",605.5,805.5,1.66360068321228
"92",705.5,805.5,1.66533219814301
"93",805.5,805.5,1.6727135181427
"94",905.5,805.5,1.56386876106262
"95",1005.5,805.5,1.58722019195557
"96",1105.5,805.5,1.57130646705627
"97",1205.5,805.5,1.57598567008972
"98",1305.5,805.5,1.69621098041534
"99",5.5,705.5,1.68139100074768
"100",105.5,705.5,1.67540228366852
"101",205.5,705.5,1.78327393531799
"102",305.5,705.5,1.76211071014404
"103",405.5,705.5,1.70734810829163
"104",505.5,705.5,1.7126317024231
"105",605.5,705.5,1.68242132663727
"106",705.5,705.5,1.63894772529602
"107",805.5,705.5,1.63612544536591
"108",905.5,705.5,1.63669764995575
"109",1005.5,705.5,1.6509211063385
"110",1105.5,705.5,1.57947421073914
"111",1205.5,705.5,1.64956963062286
"112",1305.5,705.5,1.61799812316895
"113",5.5,605.5,1.70057380199432
"114",105.5,605.5,1.69065582752228
"115",205.5,605.5,1.68775904178619
"116",305.5,605.5,1.71215879917145
"117",405.5,605.5,1.71282291412354
"118",505.5,605.5,1.73224711418152
"119",605.5,605.5,1.70336306095123
"120",705.5,605.5,1.63315081596375
"121",805.5,605.5,1.65816295146942
"122",905.5,605.5,1.63379085063934
"123",1005.5,605.5,1.70836901664734
"124",1105.5,605.5,1.67501139640808
"125",1205.5,605.5,1.63374543190002
"126",1305.5,605.5,1.66228592395782
"127",5.5,505.5,1.6011825799942
"128",105.5,505.5,1.66590654850006
"129",205.5,505.5,1.59007608890533
"130",305.5,505.5,1.63828194141388
"131",405.5,505.5,1.66609013080597
"132",505.5,505.5,1.65876293182373
"133",605.5,505.5,1.62347877025604
"134",705.5,505.5,1.61128759384155
"135",805.5,505.5,1.70060193538666
"136",905.5,505.5,1.72185826301575
"137",1005.5,505.5,1.72549879550934
"138",1105.5,505.5,1.70178616046906
"139",1205.5,505.5,1.69076538085938
"140",1305.5,505.5,1.7082211971283
"141",5.5,405.5,1.59245586395264
"142",105.5,405.5,1.50843858718872
"143",205.5,405.5,1.55391788482666
"144",305.5,405.5,1.55073606967926
"145",405.5,405.5,1.62778007984161
"146",505.5,405.5,1.65966820716858
"147",605.5,405.5,1.6504031419754
"148",705.5,405.5,1.67511069774628
"149",805.5,405.5,1.74965226650238
"150",905.5,405.5,1.7488888502121
"151",1005.5,405.5,1.67736804485321
"152",1105.5,405.5,1.70251071453094
"153",1205.5,405.5,1.66000652313232
"154",1305.5,405.5,1.70462846755981
"155",5.5,305.5,1.63619673252106
"156",105.5,305.5,1.62314403057098
"157",205.5,305.5,1.62628638744354
